Arkivtema-Behandlingstype,Arkivtema,Behandlingstema,Behandlingstype
AA;AA;AAP-A,AAP,ab0014,ae0271
AA;AA;AAP-E,AAP,ab0014,ae0052
AA;AA;AAP-G,AAP,ab0014,ae0047
AA;AA;AAP-K,AAP,ab0014,ae0037
AA;AA;AAP-M,AAP,ab0015,ae0272
AA;AA;AAP-N,AAP,ab0014,ae0026
AA;AA;AAP-O,AAP,ab0014,ae0014
AA;AA;AAP-S,AAP,ab0014,ae0032
AA;AA;AAP-T,AAP,ab0014,ae0036
AA;AA;AATFOR-O,AAP,ab0150,ae0097
AA;AA;AATFOR-S,AAP,ab0150,ae0098
AA;AA;AAUNGUFOR-E,AAP,ab0125,ae0052
AA;AA;AAUNGUFOR-G,AAP,ab0125,ae0047
AA;AA;AAUNGUFOR-O,AAP,ab0125,ae0014
AA;AA;AAUNGUFOR-S,AAP,ab0125,ae0032
AA;AA;AA115-E,AAP,ab0075,ae0052
AA;AA;AA115-G,AAP,ab0075,ae0047
AA;AA;AA115-O,AAP,ab0075,ae0014
AA;AA;AA115-S,AAP,ab0075,ae0032
AA;AA;AA116-O,AAP,ab0087,ae0014
AA;AAST;ABOUT-E,AAP,ab0021,ae0052
AA;AAST;ABOUT-O,AAP,ab0021,ae0014
AA;AAST;ABOUT-S,AAP,ab0021,ae0032
AA;AAST;ADAGR-E,AAP,ab0217,ae0052
AA;AAST;ADAGR-K,AAP,ab0217,ae0037
AA;AAST;ADAGR-O,AAP,ab0217,ae0014
AA;AAST;ADAGR-S,AAP,ab0217,ae0032
AA;AAST;AFLYT-E,AAP,ab0065,ae0052
AA;AAST;AFLYT-O,AAP,ab0065,ae0014
AA;AAST;AFLYT-S,AAP,ab0065,ae0032
AA;AAST;AHJMR-E,AAP,ab0015,ae0052
AA;AAST;AHJMR-O,AAP,ab0015,ae0014
AA;AAST;AHJMR-S,AAP,ab0015,ae0032
AA;AAST;ATIF-O,AAP,ab0119,ae0014
AA;AAST;ATIO-E,AAP,ab0036,ae0052
AA;AAST;ATIO-O,AAP,ab0036,ae0014
AA;AAST;ATIO-S,AAP,ab0036,ae0032
AA;AAST;ATIU-E,AAP,ab0128,ae0052
AA;AAST;ATIU-K,AAP,ab0128,ae0037
AA;AAST;ATIU-O,AAP,ab0128,ae0014
AA;AAST;ATIU-S,AAP,ab0128,ae0032
AA;AAST;AUNDM-E,AAP,ab0117,ae0052
AA;AAST;AUNDM-K,AAP,ab0117,ae0037
AA;AAST;AUNDM-O,AAP,ab0117,ae0014
AA;AAST;AUNDM-S,AAP,ab0117,ae0032
AA;;FRI_MK_AAP-E,AAP,ab0226,ae0052
AA;;FRI_MK_AAP-O,AAP,ab0226,ae0014
AA;;FRI_MK_AAP-S,AAP,ab0226,ae0032
ARBEID;;BEHOV-E,OPP,ab0261,ae0052
ARBEID;;BEHOV-O,OPP,ab0261,ae0014
ARBEID;;BEHOV-S,OPP,ab0261,ae0032
ARBEID;;BIST14A-E,OPP,ab0081,ae0052
ARBEID;;BIST14A-O,OPP,ab0081,ae0014
ARBEID;;TILTAK-O,OPP,ab0074,ae0014
ARBEID;;TILTAK-S,OPP,ab0074,ae0032
ATTF;ATTF;ATTF-E,YRA,ab0214,ae0052
ATTF;ATTF;ATTF-O,YRA,ab0214,ae0014
ATTF;ATTF;ATTF-S,YRA,ab0214,ae0032
ATTF;ATTF;ATTK-E,YRA,ab0227,ae0052
ATTF;ATTF;ATTK-G,YRA,ab0227,ae0047
ATTF;ATTF;ATTK-K,YRA,ab0227,ae0037
ATTF;ATTF;ATTK-O,YRA,ab0227,ae0014
ATTF;ATTF;ATTK-S,YRA,ab0227,ae0032
ATTF;ATTF;ATTP-E,YRA,ab0102,ae0052
ATTF;ATTF;ATTP-O,YRA,ab0102,ae0014
ATTF;ATTF;ATTP-S,YRA,ab0102,ae0032
ATTF;ATTF;KOMP-E,YRA,ab0090,ae0052
ATTF;ATTF;KOMP-O,YRA,ab0090,ae0014
ATTF;ATTF;KOMP-S,YRA,ab0090,ae0032
ATTF;ATTST;ARBT-E,YRA,ab0160,ae0052
ATTF;ATTST;ARBT-O,YRA,ab0160,ae0014
ATTF;ATTST;ARBT-S,YRA,ab0160,ae0032
ATTF;ATTST;BOUT-E,YRA,ab0021,ae0052
ATTF;ATTST;BOUT-O,YRA,ab0021,ae0014
ATTF;ATTST;BOUT-S,YRA,ab0021,ae0032
